Unnamed: 0, where, what, value,ass2,ass8,ass16,ass4bank4,lat100,ln_sim_ass_2,ln_sim_ass_4
29, GPU[1].SA[1].CU[2], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815379.0,2813926.0
30, GPU[1].SA[1].CU[2], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559642946829,3.561345607525
31, GPU[1].SA[1].CU[3], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3920000.0
32, GPU[1].SA[1].CU[3], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.556470153061
33, GPU[1].SA[1].CU[3], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2815647.0,2814644.0
34, GPU[1].SA[1].CU[3], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.559304131519,3.560437128106
35, GPU[1].SA[2].CU[0], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3921568.0,3921568.0
36, GPU[1].SA[2].CU[0], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.555545128887,2.555447973872
37, GPU[1].SA[2].CU[0], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2816901.0,2815414.0
38, GPU[1].SA[2].CU[0], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.557719635869,3.559463368442
39, GPU[1].SA[2].CU[1], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3920000.0,3921568.0
40, GPU[1].SA[2].CU[1], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.556567346939,2.555447973872
41, GPU[1].SA[2].CU[1], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2812897.0,2817708.0
42, GPU[1].SA[2].CU[1], simd_CPI, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.737951807229, 7.979062811565,3.562783848822,3.556565478041
43, GPU[1].SA[2].CU[2], cu_inst_count, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000, 1568.000000000000,3918432.0,3918432.0
44, GPU[1].SA[2].CU[2], cu_CPI, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 4.915178571429, 5.103954081633,2.557590383092,2.557493150321
45, GPU[1].SA[2].CU[2], simd_inst_count, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 996.000000000000, 1003.000000000000,2816477.0,2814718.0
